If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
"PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails","Apple Releases iOS 10 With Redesigned Lock Screen, New Messages Features, Third-Party Siri, and More",What to Expect at WWDC 2016,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Good Software Takes Ten Years. Get Used To it.,What Apple's differential privacy means for your data and the future of machine learning,​Google's AI software is moving into your iPhone,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,macOS Sierra will launch on September 20th | Cult of Mac
The moment when you realize every server in the world is vulnerable - Free Code Camp,How to write a Bloom filter in C++,Enable secure mode on your web product | Intercom Docs,Our password hashing has no clothes,Customer Supplied Encryption Keys in Cloud Storage now in beta,Aggregations,Algorithms and architecture for job recommendations,"So, You Want A Table, Huh?",Exploring Java's Hidden Costs,Terms Aggregation in Elastic Search,Writing good code: how to reduce the cognitive load of your code
"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Brasil pode superar EUA em potencial para atuação de fintechs,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Olhando para o futuro: 5 pontos de atenção,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Como o Banco do Brasil está inovando e incentivando o intraempreendedorismo,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Especialistas trazem tendências de UX para 2017 - KingHost
Clickpag agora é Rede Pay,Olhando para o futuro: 5 pontos de atenção,A saga do jovem CEO da Dasa,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Bradesco vai lançar novo banco digital: o Next.,Branding é problema seu. E meu.,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com","SINAIS do FUTURO imediato: #1, internet das coisas",Degraus para o sucesso: a inovação no core do negócio,Por que o Walmart não é Walmart no Brasil,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/"
"SpaceNet satellite imagery repository launched by DigitalGlobe, CosmiQ Works and NVIDIA on AWS",What Happens When You Combine Artificial Intelligence and Satellite Imagery,Why image recognition is about to transform business,The barbell effect of machine learning.,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Machine Learning for Designers,Machine Learning Is No Longer Just for Experts,IBM wants to bring machine learning to the mainframe,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence,Clarifying the uses of artificial intelligence in the enterprise
Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,IoT a favor do relacionamento médico-paciente,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"'Uber do ônibus' derruba custo e acaba com engarrafamento, aponta estudo",Como a Microsoft está trabalhando com o conceito de IoT - Startupi,[Books] Biblioteca FIXE: Sugestões de Leitura
Video: Steve Wozniak discusses the importance of education,Today in Apple history: Happy birthday Steve Wozniak,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs resigns as Apple CEO,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Apple's secret strategy: Underpromise and overdeliver,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",How Apple Keyboards Lost a Logo and Windows PCs Gained One,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel
Passada longa ou curta?,Dicas para aumentar produtividade: 14 dicas incríveis.,Lições de empreendedorismo com a série The 100,A corrida como aliada da produtividade - Runner's World Brasil,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,[Books] Biblioteca FIXE: Sugestões de Leitura,O que é benchmarking? Veja quando um concorrente se torna inspiração!,Cinco competências comportamentais para você ser um bom líder,Vídeos motivacionais: os 21 vídeos mais incríveis.,Quando o Scrum irá falhar - Tableless,"SINAIS do FUTURO imediato: #1, internet das coisas"
An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Apple's Machine Learning Has Cut Siri's Error Rate by a Factor of Two,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",What to Expect at WWDC 2016,"Siri: Once a Flake, Now Key to Apple's Future",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Apple Hiring for New Machine Learning Division Following Turi Acquisition,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Ultimate AI battle - Apple vs. Google,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One
Tasting Dagger 2 on Android,Inversion of Control Containers and the Dependency Injection pattern,Advanced Android Espresso,Exploring Java's Hidden Costs,Android process death - and the (big) implications for your app - Inloop,The hardest thing in computer science,The Java 8 API Design Principles,Code reuse in microservices architecture - with Spring Boot,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy,Don't Store Data in the Application Object,Leveling Up Your JavaScript -
98 personal data points that Facebook uses to target ads to you,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Facebook at Work pushed to 'later this year',How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,Facebook Messenger bots are here and they want to kill apps,"Facebook ditches Bing, 800M users now see its own AI text translations","Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7","Facebook details its company-wide machine learning platform, FBLearner Flow",Behind Facebook Messenger's plan to be an app platform,Google : End Of The Online Advertising Bubble,Why 5 is the magic number for UX usability testing
Por que o Uber vem sofrendo tanto prejuízo entre empresas de tecnologia,Uber começa testes de carros sem motorista nos EUA,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",A saga do jovem CEO da Dasa,O raio-x financeiro das empresas fofas,"Após 9 meses de operação e sucesso meteórico, Uber é vendido na China.",Por que o Walmart não é Walmart no Brasil,"'Uber do ônibus' derruba custo e acaba com engarrafamento, aponta estudo",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Why porting an iOS design to Android will not work,"Apple Releases iOS 10 With Redesigned Lock Screen, New Messages Features, Third-Party Siri, and More",Visual Studio Code Now Supports Debugging of iOS Web Apps,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Adulterated Objective-C,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",What to Expect at WWDC 2016,Sign Up for Mike Cohn's Best Content,A Tale of 2 API Platforms - GGV Capital,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
Tem hora certa pra sair do armário?,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Vídeos motivacionais: os 21 vídeos mais incríveis.,"SINAIS do FUTURO imediato: #1, internet das coisas",Séries com lições sobre empreendedorismo: As 7 melhores!,Cinco competências comportamentais para você ser um bom líder,"""Não, você não aceita a homossexualidade ainda...""",7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,O que é benchmarking? Veja quando um concorrente se torna inspiração!
[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,Accept questions from your audience when presenting in Google Slides,[Tools] XMind Plus - Last Chance for students' 1$ gift,New Google Cloud Platform Education Grants offer free credits to students,Creative Applications of Deep Learning with TensorFlow | Kadenze,Learning at the speed of business,Code.org 2016 Annual Report,5 Skills You Need to Become a Machine Learning Engineer | Udacity,New ways to keep data flowing between your apps and ours,Machine Learning for Designers,Prototyping across borders - From Tulsa to Brazil - +Acumen
Graduação já não garante uma carreira de sucesso em TI - CIO,"TI continua despreparada para os negócios digitais, afirma Gartner - CIO",Cinco competências essenciais ao IT Leaders - CIO,TI Bimodal? Receita para o desastre...,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,[Books] Biblioteca FIXE: Sugestões de Leitura,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Especialistas trazem tendências de UX para 2017 - KingHost,Gap de talentos volta a assombrar área de tecnologia da informação,Cinco competências comportamentais para você ser um bom líder,Dicas para aumentar produtividade: 14 dicas incríveis.
Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Machine Learning for Designers,7 Tips to Create a Company Learning Culture like Google - Without Resources,Machine Learning is Fun!,5 Skills You Need to Become a Machine Learning Engineer | Udacity,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Is Learning Drupal Hard?,How real businesses are using machine learning,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy
5 empresas que aplicam o Growth Hacking e que são sucesso,Como o Trello foi de 4 a 17 milhões de usuários,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost,"SINAIS do FUTURO imediato: #1, internet das coisas",Pokémon GO e o impacto na experiência do usuário -,Gamification - por que somos motivados por mecânicas de jogos - Mochileiro Corporativo,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país"
